Client Name,URL,Expected Provider,Detected Provider,Config,Status,Details,Site Map,Offer,Active
Mike Terry Ford Mexia,https://www.miketerryford.com/,Dealer.com,Dealer.com,DCOM,PASS,Perfect (Rule of 1),,$500 Off Any,Yes
Mike Terry Hyundai of Silsbee,https://www.miketerryhyundai.com/,Dealer.com,Dealer.com,DCOM,PASS,Perfect (Rule of 1),,$500 Off Any,Yes
Monroe Nissan,https://www.monroenissan.com/,Quick HTTP,Quick HTTP,BUNDLE,PASS,Found via HTTP: idrove.it/behaviour.bundle.js,,$500 Off Any,Yes
Myrtle Beach Chrysler Jeep,https://www.myrtlebeachchryslerjeep.net/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),,,No
Nissan  of  Rockville  Centre,https://www.nissanofrockvillecentre.com/,SOKAL,Sokal,STD,PASS,Perfect (Rule of 2),,$500 Off Any New,Yes
Nissan of Bay Shore,https://www.nissanofbayshore.com/,Dealer.com,Dealer.com,DCOM,PASS,Perfect (Rule of 1),,$500 Off Any,Yes
Nissan of Garden City,https://www.nissanofgardencity.com/,SOKAL,Sokal,STD,WARN,Found 4 (Expected 2) (Saved Img),,$500 Off Any,Yes
Nissan of Hendersonville,https://www.nissanofhendersonville.com/,Dealer.com,,NONE,FAIL,No scripts found (Saved Img),,,No
Nissan of Huntington,https://www.nissanofhuntington.com/,SOKAL,Sokal,STD,PASS,Perfect (Rule of 2),,$500 Off Any OR $500 Trade Assist,Yes
Nissan of Richmond,https://www.nissanrva.com/,SOKAL,Sokal,STD,PASS,Perfect (Rule of 2),,$500 Your Way,Yes
North Knoxville CDJR,https://www.northknoxcdjr.com/,Dealer.com,Dealer.com,DCOM,PASS,Perfect (Rule of 1),,$500 Off Any,Yes
Octane Buick GMC of Santa Fe,https://www.octanegmc.com/,Dealer.com,Dealer.com,DCOM,PASS,Perfect (Rule of 1),,$750 Off Any,Yes
Owen Ford Jarratt,https://www.owenford.com/,Dealer.com,Dealer.com,DCOM,PASS,Perfect (Rule of 1),,$500 Off Any,Yes
Parks Buick GMC Greenville,https://www.parksbuickgmc.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off New/$250 Off Used,Yes
Parks Buick GMC Kernersville,https://www.parksgmckernersville.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Parks Chevrolet Charlotte,https://www.parkscharlotte.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Your Way,Yes
Parks Chevrolet Huntersville,https://www.parkschevrolethuntersville.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$1000 Off Any New OR $500 Off Any Used,Yes
Parks Chevrolet Kernersville,https://www.parkschevy.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Parks Chevrolet Richmond,https://www.parksrichmond.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Your Way,Yes
Parks Chevrolet Spartanburg,https://www.parkschevroletspartanburg.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Parks Ford Hendersonville,https://www.parksfordhendersonville.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Parks Motors,https://www.parksmotors.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$1000 Off Any,Yes
